Rank,Name,Pay,Salary/Winnings,Endorsements,Sport,Year
#100,James Harden,$18.8 M,$14.8 M,$4 M,Basketball,2015
#1,Floyd Mayweather,$105 M,$105 M,$0 ,Boxing,2014
#2,Cristiano Ronaldo,$80 M,$52 M,$28 M,Soccer,2014
#3,LeBron James,$72.3 M,$19.3 M,$53 M,Basketball,2014
#4,Lionel Messi,$64.7 M,$41.7 M,$23 M,Soccer,2014
#5,Kobe Bryant,$61.5 M,$30.5 M,$31 M,Basketball,2014
#6,Tiger Woods,$61.2 M,$6.2 M,$55 M,Golf,2014
#7,Roger Federer,$56.2 M,$4.2 M,$52 M,Tennis,2014
#8,Phil Mickelson,$53.2 M,$5.2 M,$48 M,Golf,2014
#9,Rafael Nadal,$44.5 M,$14.5 M,$30 M,Tennis,2014
#10,Matt Ryan,$43.8 M,$42 M,$1.8 M,Football,2014
#11,Manny Pacquiao,$41.8 M,$41 M,$0.8 M,Boxing,2014
#12,Zlatan Ibrahimovic,$40.4 M,$36.4 M,$4 M,Soccer,2014
#13,Derrick Rose,$36.6 M,$17.6 M,$19 M,Basketball,2014
#14,Gareth Bale,$36.4 M,$25.4 M,$11 M,Soccer,2014
#15,Radamel Falcao,$35.4 M,$32.4 M,$3 M,Soccer,2014
#21,Fernando Alonso,$31 M,$29 M,$2 M,Racing,2014
#22,Mahendra Singh Dhoni,$30 M,$4 M,$26 M,Cricket,2014
#23,Dwyane Wade,$29.9 M,$18.9 M,$11 M,Basketball,2014
#24,Carmelo Anthony,$29.4 M,$21.4 M,$8 M,Basketball,2014
#25,Wladimir Klitschko,$28 M,$24 M,$4 M,Boxing,2014
#26,Peyton Manning,$27.1 M,$15.1 M,$12 M,Football,2014
#27,Amar'e Stoudemire,$26.7 M,$21.7 M,$5 M,Basketball,2014
#28,Dale Earnhardt Jr.,$25.9 M,$14.9 M,$11 M,Racing,2014
#29,Dwight Howard,$25.5 M,$20.5 M,$5 M,Basketball,2014
#30,Cliff Lee,$25.3 M,$25.1 M,$200 K,Baseball,2014
#41,Li Na,$23.6 M,$5.6 M,$18 M,Tennis,2014
#42,Jimmie Johnson,$23.5 M,$17 M,$6.5 M,Racing,2014
#43,Wayne Rooney,$23.4 M,$18.4 M,$5 M,Soccer,2014
#44,Sergio Aguero,$23.3 M,$18.3 M,$5 M,Soccer,2014
#45,Usain Bolt,$23.2 M,$200 K,$23 M,Track,2014
#51,Matt Kemp,$22.6 M,$21.8 M,$0.8 M,Baseball,2014
#52,Joe Johnson,$22.5 M,$21.5 M,$1 M,Basketball,2014
#53,Geno Atkins,$22.4 M,$22.3 M,$50 K,Football,2014
#53,Ryan Howard,$22.4 M,$21.7 M,$0.7 M,Baseball,2014
#55,Aaron Rodgers,$22 M,$14.5 M,$7.5 M,Football,2014
#55,Serena Williams,$22 M,$11 M,$11 M,Tennis,2014
#57,Chris Bosh,$21.8 M,$19.3 M,$2.5 M,Basketball,2014
#57,Pau Gasol,$21.8 M,$19.3 M,$2.5 M,Basketball,2014
#59,Yaya Touré,$21.7 M,$19.2 M,$2.5 M,Soccer,2014
#60,Robinson Cano,$21.5 M,$18 M,$3.5 M,Baseball,2014
#70,Jason Peters,$20.7 M,$20.7 M,$50 K,Football,2014
#70,Justin Verlander,$20.7 M,$20.2 M,$0.5 M,Baseball,2014
#73,Tim Lincecum,$20.6 M,$20.3 M,$250 K,Baseball,2014
#74,Carl Crawford,$20.5 M,$20.2 M,$300 K,Baseball,2014
#75,Matt Cain,$20.4 M,$20 M,$400 K,Baseball,2014
#81,Robin van Persie,$19.5 M,$16.5 M,$3 M,Soccer,2014
#82,Russell Westbrook,$19.2 M,$14.7 M,$4.5 M,Basketball,2014
#83,Sebastian Vettel,$19 M,$18 M,$1 M,Racing,2014
#84,Carlos Dunlap,$18.8 M,$18.7 M,$50 K,Football,2014
#84,Zach Randolph,$18.8 M,$18.3 M,$0.5 M,Basketball,2014
#86,Steven Gerrard,$18.7 M,$13.2 M,$5.5 M,Soccer,2014
#86,Jeff Gordon,$18.7 M,$13.7 M,$5 M,Racing,2014
#88,Rudy Gay,$18.6 M,$17.9 M,$0.7 M,Basketball,2014
#89,Larry Fitzgerald,$18.5 M,$17 M,$1.5 M,Football,2014
#89,Mesut Ozil,$18.5 M,$12.5 M,$6 M,Soccer,2014
1,Tiger Woods,$78.1 M,$13.1 M,$65 M,Golf,2013
2,Roger Federer,$71.5 M,$6.5 M,$65 M,Tennis,2013
3,Kobe Bryant,$61.9 M,$27.9 M,$34 M,Basketball,2013
4,LeBron James,$59.8 M,$17.8 M,$42 M,Basketball,2013
5,Drew Brees,$51 M,$40 M,$11 M,Football,2013
6,Aaron Rodgers,$49 M,$43 M,$6 M,Football,2013
7,Phil Mickelson,$48.7 M,$4.7 M,$44 M,Golf,2013
8,David Beckham,$47.2 M,$5.2 M,$42 M,Soccer,2013
9,Cristiano Ronaldo,$44 M,$23 M,$21 M,Soccer,2013
10,Lionel Messi,$41.3 M,$20.3 M,$21 M,Soccer,2013
11,Tom Brady,$38.3 M,$31.3 M,$7 M,Football,2013
12,Derrick Rose,$37.4 M,$16.4 M,$21 M,Basketball,2013
13,Joe Flacco,$36.8 M,$35.9 M,$0.9 M,Football,2013
14,Floyd Mayweather,$34 M,$34 M,$0 M,Boxing,2013
14,Manny Pacquiao,$34 M,$26 M,$8 M,Boxing,2013
16,Mahendra Singh Dhoni,$31.5 M,$3.5 M,$28 M,Cricket,2013
17,Kevin Durant,$30.9 M,$16.9 M,$14 M,Basketball,2013
18,Alex Rodriguez,$30.3 M,$29.8 M,$0.5 M,Baseball,2013
19,Fernando Alonso,$30 M,$28 M,$2 M,Racing,2013
19,Peyton Manning,$30 M,$18 M,$12 M,Football,2013
21,Rory McIlroy,$29.6 M,$13.6 M,$16 M,Golf,2013
22,Maria Sharapova,$29 M,$6 M,$23 M,Tennis,2013
23,Dwyane Wade,$28.9 M,$17.4 M,$11.5 M,Basketball,2013
24,Tony Romo,$28.8 M,$25.8 M,$3 M,Football,2013
25,Carmelo Anthony,$28 M,$19.5 M,$8.5 M,Basketball,2013
26,Lewis Hamilton,$27.5 M,$26 M,$1.5 M,Racing,2013
27,Amar'e Stoudemire,$27 M,$20 M,$7 M,Basketball,2013
28,Novak Djokovic,$26.9 M,$12.9 M,$14 M,Tennis,2013
29,Dwight Howard,$26.5 M,$19.5 M,$7 M,Basketball,2013
30,Rafael Nadal,$26.4 M,$5.4 M,$21 M,Tennis,2013
31,Calvin Johnson,$26.3 M,$25.5 M,$0.8 M,Football,2013
32,Dale Earnhardt Jr.,$26 M,$13 M,$13 M,Racing,2013
33,Ray Rice,$25.8 M,$24.2 M,$1.6 M,Football,2013
34,Joe Mauer,$25.5 M,$23 M,$2.5 M,Baseball,2013
34,Johan Santana,$25.5 M,$24.5 M,$1 M,Baseball,2013
36,Derek Jeter,$25.4 M,$16.4 M,$9 M,Baseball,2013
37,Felix Hernandez,$25.3 M,$25.1 M,$0.3 M,Baseball,2013
38,Dwayne Bowe,$24.9 M,$24.5 M,$0.4 M,Football,2013
39,Josh Hamilton,$24.7 M,$24.2 M,$0.5 M,Baseball,2013
40,Usain Bolt,$24.2 M,$0.2 M,$24 M,Track,2013
41,Jimmie Johnson,$24 M,$17.3 M,$6.7 M,Racing,2013
41,Wladimir Klitschko,$24 M,$19 M,$5 M,Boxing,2013
43,Prince Fielder,$23.8 M,$23.3 M,$0.5 M,Baseball,2013
44,CC Sabathia,$23.6 M,$23.1 M,$0.5 M,Baseball,2013
45,Vincent Jackson,$23.4 M,$23.2 M,$0.3 M,Football,2013
46,Miguel Cabrera,$23 M,$21.5 M,$1.5 M,Baseball,2013
47,Cliff Lee,$22.9 M,$22.7 M,$0.2 M,Baseball,2013
47,Mark Teixeira,$22.9 M,$22.6 M,$0.3 M,Baseball,2013
49,Cole Hamels,$22.7 M,$22.5 M,$0.2 M,Baseball,2013
50,Matt Schaub,$22.3 M,$21.9 M,$0.4 M,Football,2013
51,Valentino Rossi,$22 M,$12 M,$10 M,Motorcycle,2013
51,Sachin Tendulkar,$22 M,$4 M,$18 M,Cricket,2013
53,Clay Matthews,$21.8 M,$21.3 M,$0.5 M,Football,2013
53,Chris Paul,$21.8 M,$17.8 M,$4 M,Basketball,2013
55,Zack Grienke,$21.7 M,$21.7 M,$0.1 M,Baseball,2013
56,Gilbert Arenas,$21.6 M,$21.5 M,$0.1 M,Basketball,2013
57,Pau Gasol,$21.5 M,$19 M,$2.5 M,Basketball,2013
58,Dirk Nowitzki,$21.4 M,$20.9 M,$0.5 M,Basketball,2013
59,Adrian Gonzalez,$21.2 M,$21 M,$0.2 M,Baseball,2013
59,Vernon Wells,$21.2 M,$21 M,$0.2 M,Baseball,2013
61,Wayne Rooney,$21.1 M,$18.1 M,$3 M,Soccer,2013
62,Ryan Howard,$21 M,$20 M,$1 M,Baseball,2013
63,Sergio Aguero,$20.9 M,$17.4 M,$3.5 M,Soccer,2013
64,Didier Drogba,$20.8 M,$15.8 M,$5 M,Soccer,2013
64,Joe Johnson,$20.8 M,$19.8 M,$1 M,Basketball,2013
64,Justin Verlander,$20.8 M,$20.3 M,$0.5 M,Baseball,2013
67,Yaya Touré,$20.7 M,$18.2 M,$2.5 M,Soccer,2013
68,Roy Halladay,$20.5 M,$20 M,$0.5 M,Baseball,2013
68,Neymar,$20.5 M,$10.5 M,$10 M,Soccer,2013
68,Serena Williams,$20.5 M,$8.5 M,$12 M,Tennis,2013
71,Tim Lincecum,$20.1 M,$19.7 M,$0.4 M,Baseball,2013
72,Carl Crawford,$20 M,$19.8 M,$0.2 M,Baseball,2013
72,Fernando Torres,$20 M,$17 M,$3 M,Soccer,2013
74,Barry Zito,$19.9 M,$19.7 M,$0.2 M,Baseball,2013
75,Chris Bosh,$19.8 M,$17.8 M,$2 M,Basketball,2013
76,Zlatan Ibrahimovic,$19.7 M,$17.2 M,$2.5 M,Soccer,2013
77,Ichiro Suzuki,$19.6 M,$13.6 M,$6 M,Baseball,2013
78,Ernie Els,$19.5 M,$3.5 M,$16 M,Golf,2013
79,Kaka,$19.3 M,$13.8 M,$5.5 M,Soccer,2013
80,Deron Williams,$19.2 M,$17.2 M,$2 M,Basketball,2013
81,Brandt Snedeker,$19 M,$17 M,$2 M,Golf,2013
82,Paul Pierce,$18.8 M,$16.8 M,$2 M,Basketball,2013
83,Tony Stewart,$18.5 M,$12.5 M,$6 M,Racing,2013
84,Carl Nicks,$18.3 M,$18.3 M,$0 M,Football,2013
85,Jeff Gordon,$18.2 M,$12.7 M,$5.5 M,Racing,2013
85,Li Na,$18.2 M,$3.2 M,$15 M,Tennis,2013
85,Carlos Tevez,$18.2 M,$16.7 M,$1.5 M,Soccer,2013
88,Alfonso Soriano,$18.1 M,$18 M,$0.1 M,Baseball,2013
89,Sebastian Vettel,$18 M,$17 M,$1 M,Racing,2013
90,Matt Cain,$17.4 M,$17.1 M,$0.3 M,Baseball,2013
90,Matt Holliday,$17.4 M,$17.1 M,$0.3 M,Baseball,2013
92,Michael Young,$17.3 M,$17.2 M,$0.1 M,Baseball,2013
93,Rudy Gay,$17.2 M,$16.5 M,$0.8 M,Basketball,2013
93,Steven Gerrard,$17.2 M,$12.7 M,$4.5 M,Soccer,2013
95,Zach Randolph,$17 M,$16.5 M,$0.5 M,Basketball,2013
96,Russell Westbrook,$16.9 M,$13.9 M,$3 M,Basketball,2013
97,Andrew Bynum,$16.7 M,$16.5 M,$0.3 M,Basketball,2013
98,A.J. Burnett,$16.6 M,$16.5 M,$0.1 M,Baseball,2013
98,Brandon Roy,$16.6 M,$16.4 M,$0.3 M,Basketball,2013
100,Samuel Eto'o,$16.4 M,$13.4 M,$3 M,Soccer,2013
1,Floyd Mayweather,$85 M,$85 M,$0 M,Boxing,2012
2,Manny Pacquiao,$62 M,$56 M,$6 M,Boxing,2012
3,Tiger Woods,$59.4 M,$4.4 M,$55 M,Golf,2012
4,LeBron James,$53 M,$13 M,$40 M,Basketball,2012
5,Roger Federer,$52.7 M,$7.7 M,$45 M,Tennis,2012
6,Kobe Bryant,$52.3 M,$20.3 M,$32 M,Basketball,2012
7,Phil Mickelson,$47.8 M,$4.8 M,$43 M,Golf,2012
8,David Beckham,$46 M,$9 M,$37 M,Soccer,2012
9,Cristiano Ronaldo,$42.5 M,$20.5 M,$22 M,Soccer,2012
10,Peyton Manning,$42.4 M,$32.4 M,$10 M,Football,2012
11,Lionel Messi,$39 M,$20 M,$19 M,Soccer,2012
12,Haloti Ngata,$37.3 M,$37.1 M,$0.2 M,Football,2012
13,Larry Fitzgerald,$36.8 M,$35.3 M,$1.5 M,Football,2012
14,Ndamukong Suh,$36 M,$35.5 M,$0.5 M,Football,2012
15,Charles Johnson,$34.4 M,$34.3 M,$0.1 M,Football,2012
16,Rafael Nadal,$33.2 M,$8.2 M,$25 M,Tennis,2012
16,Mario Williams,$33.2 M,$32.9 M,$0.3 M,Football,2012
18,Alex Rodriguez,$33 M,$31 M,$2 M,Baseball,2012
19,Fernando Alonso,$32 M,$29 M,$3 M,Racing,2012
20,Valentino Rossi,$30 M,$17 M,$13 M,Motorcycle,2012
20,Michael Schumacher,$30 M,$20 M,$10 M,Racing,2012
22,Darrelle Revis,$28.3 M,$27 M,$1.3 M,Football,2012
23,Dale Earnhardt Jr.,$28.2 M,$13.2 M,$15 M,Racing,2012
24,Lewis Hamilton,$28 M,$25 M,$3 M,Racing,2012
24,Wladimir Klitschko,$28 M,$24 M,$4 M,Boxing,2012
26,Maria Sharapova,$27.9 M,$5.9 M,$22 M,Tennis,2012
27,Sam Bradford,$27.8 M,$26.8 M,$1 M,Football,2012
28,Tom Brady,$27.1 M,$23.1 M,$4 M,Football,2012
29,Joe Mauer,$27 M,$23 M,$4 M,Baseball,2012
30,Eli Manning,$26.6 M,$18.6 M,$8 M,Football,2012
31,Mahendra Singh Dhoni,$26.5 M,$3.5 M,$23 M,Cricket,2012
31,LaMarr Woodley,$26.5 M,$26.3 M,$0.2 M,Football,2012
33,Dwight Howard,$25.6 M,$14.6 M,$11 M,Basketball,2012
34,Kevin Durant,$25.5 M,$12.5 M,$13 M,Basketball,2012
35,Dwyane Wade,$24.7 M,$12.7 M,$12 M,Basketball,2012
36,Derek Jeter,$24.5 M,$15.5 M,$9 M,Baseball,2012
37,Wayne Rooney,$24.3 M,$17.8 M,$6.5 M,Soccer,2012
38,Mark Sanchez,$24.2 M,$23.2 M,$1 M,Football,2012
39,Ichiro Suzuki,$24 M,$17 M,$7 M,Baseball,2012
40,CC Sabathia,$23.8 M,$23 M,$0.8 M,Baseball,2012
40,Johan Santana,$23.8 M,$23.3 M,$0.5 M,Baseball,2012
42,Jeff Gordon,$23.6 M,$13.6 M,$10 M,Racing,2012
43,Ben Roethlisberger,$23.3 M,$22.3 M,$1 M,Football,2012
44,Carmelo Anthony,$22.9 M,$14.9 M,$8 M,Basketball,2012
45,Mark Teixeira,$22.8 M,$22.5 M,$0.3 M,Baseball,2012
46,Amar'e Stoudemire,$22.7 M,$14.7 M,$8 M,Basketball,2012
47,Tony Stewart,$22.3 M,$15.3 M,$7 M,Racing,2012
48,Luke Donald,$22.2 M,$13.2 M,$9 M,Golf,2012
49,Vernon Wells,$22.1 M,$22 M,$0.1 M,Baseball,2012
50,Michael Vick,$22 M,$20 M,$2 M,Football,2012
51,Logan Mankins,$21.9 M,$21.8 M,$0.1 M,Football,2012
51,Richard Seymour,$21.9 M,$21.6 M,$0.3 M,Football,2012
53,Ryan Howard,$21.5 M,$20 M,$1.5 M,Baseball,2012
53,Jimmie Johnson,$21.5 M,$14.5 M,$7 M,Racing,2012
53,Adrian Peterson,$21.5 M,$20.5 M,$1 M,Football,2012
56,Jon Beason,$21.4 M,$21.3 M,$0.1 M,Football,2012
57,Kevin Garnett,$21.1 M,$17.1 M,$4 M,Basketball,2012
58,Matthew Stafford,$20.9 M,$19.9 M,$1 M,Football,2012
59,Miguel Cabrera,$20.8 M,$20.6 M,$0.2 M,Baseball,2012
59,Kaka,$20.8 M,$14.3 M,$6.5 M,Soccer,2012
61,Novak Djokovic,$20.6 M,$11.6 M,$9 M,Tennis,2012
61,Roy Halladay,$20.6 M,$20.1 M,$0.5 M,Baseball,2012
63,Usain Bolt,$20.3 M,$0.3 M,$20 M,Track,2012
63,D'Brickashaw Ferguson,$20.3 M,$20.1 M,$0.2 M,Football,2012
65,Sergio Aguero,$20.1 M,$16.6 M,$3.5 M,Soccer,2012
66,DeAngelo Williams,$19.9 M,$19.8 M,$0.2 M,Football,2012
67,Joe Thomas,$19.8 M,$19.3 M,$0.5 M,Football,2012
68,Eric Berry,$19.6 M,$19.3 M,$0.3 M,Football,2012
68,Prince Fielder,$19.6 M,$19.3 M,$0.3 M,Baseball,2012
68,Fernando Torres,$19.6 M,$16.6 M,$3 M,Soccer,2012
71,Ryan Kalil,$19.4 M,$19.3 M,$0.1 M,Football,2012
72,Chris Paul,$19.2 M,$13.2 M,$6 M,Basketball,2012
73,Tim Duncan,$19.1 M,$17.1 M,$2 M,Basketball,2012
73,Yaya Touré,$19.1 M,$16.6 M,$2.5 M,Soccer,2012
75,Miguel Cotto,$19 M,$19 M,$0 M,Boxing,2012
76,Barry Zito,$18.9 M,$18.8 M,$0.2 M,Baseball,2012
77,Robert Mathis,$18.7 M,$18.6 M,$0.2 M,Football,2012
78,Carlos Lee,$18.6 M,$18.5 M,$0.1 M,Baseball,2012
78,Sachin Tendulkar,$18.6 M,$2.1 M,$16.5 M,Cricket,2012
78,Lawrence Timmons,$18.6 M,$18.4 M,$0.2 M,Football,2012
81,Li Na,$18.4 M,$1.4 M,$17 M,Tennis,2012
82,Torii Hunter,$18.3 M,$18 M,$0.3 M,Baseball,2012
82,Alfonso Soriano,$18.3 M,$18 M,$0.3 M,Baseball,2012
84,Deron Williams,$18.2 M,$16.2 M,$2 M,Basketball,2012
85,Johnathan Joseph,$18.1 M,$18 M,$0.1 M,Football,2012
86,Darnell Dockett,$18 M,$17.9 M,$0.1 M,Football,2012
87,Matt Holliday,$17.6 M,$17.3 M,$0.3 M,Baseball,2012
88,Rashard Lewis,$17.5 M,$17 M,$0.5 M,Basketball,2012
88,John Terry,$17.5 M,$12.5 M,$5 M,Soccer,2012
88,Justin Verlander,$17.5 M,$17 M,$0.5 M,Baseball,2012
91,Ernie Els,$17.4 M,$1.4 M,$16 M,Golf,2012
91,Rory McIlroy,$17.4 M,$10.4 M,$7 M,Golf,2012
91,Albert Pujols,$17.4 M,$14.4 M,$3 M,Baseball,2012
91,Carlos Zambrano,$17.4 M,$17.3 M,$0.1 M,Baseball,2012
95,Pau Gasol,$17.2 M,$14.7 M,$2.5 M,Basketball,2012
96,Russell Okung,$17.1 M,$16.8 M,$0.3 M,Football,2012
97,Steven Gerrard,$17 M,$12.5 M,$4.5 M,Soccer,2012
98,Carl Crawford,$16.9 M,$16.8 M,$0.2 M,Baseball,2012
99,Rolando McClain,$16.7 M,$16.5 M,$0.2 M,Football,2012
100,Jake Peavy,$16.6 M,$16.5 M,$0.1 M,Baseball,2012
