Serial No.,University Rating,GRE Score,TOEFL Score,CGPA,Research,SOP,LOR ,Chance of Admit 
1,4,337,118,4.825,1,4.5,4.5,0.92
2,4,324,107,4.435,1,4,4.5,0.76
3,3,316,104,4,1,3,3.5,0.72
4,3,322,110,4.335,1,3.5,2.5,0.8
5,2,314,103,4.105,0,2,3,0.65
6,5,330,115,4.67,1,4.5,3,0.9
7,3,321,109,4.1,1,3,4,0.75
8,2,308,101,3.95,0,3,4,0.68
9,1,302,102,4,0,2,1.5,0.5
10,3,323,108,4.3,0,3.5,3,0.45
11,3,325,106,4.2,1,3.5,4,0.52
12,4,327,111,4.5,1,4,4.5,0.84
13,4,328,112,4.55,1,4,4.5,0.78
14,3,307,109,4,1,4,3,0.62
15,3,311,104,4.1,1,3.5,2,0.61
16,3,314,105,4.15,0,3.5,2.5,0.54
17,3,317,107,4.35,0,4,3,0.66
18,3,319,106,4,1,4,3,0.65
19,3,318,110,4.4,0,4,3,0.63
20,3,303,102,4.25,0,3.5,3,0.62
21,3,312,107,3.95,1,3,2,0.64
22,4,325,114,4.2,0,3,2,0.7
23,5,328,116,4.75,1,5,5,0.94
24,5,334,119,4.85,1,5,4.5,0.95
25,5,336,119,4.9,1,4,3.5,0.97
26,5,340,120,4.8,1,4.5,4.5,0.94
27,5,322,109,4.4,0,4.5,3.5,0.76
28,2,298,98,3.75,1,1.5,2.5,0.44
29,1,295,93,3.6,0,2,2,0.46
30,2,310,99,3.65,0,1.5,2,0.54
31,2,300,97,4.05,1,3,3,0.65
32,3,327,103,4.15,1,4,4,0.74
33,4,338,118,4.7,1,3,4.5,0.91
34,5,340,114,4.8,1,4,4,0.9
35,5,331,112,4.9,1,4,5,0.94
36,5,320,110,4.6,1,5,5,0.88
37,2,299,106,4.2,0,4,4,0.64
38,1,300,105,3.9,0,1,2,0.58
39,1,304,105,3.75,0,3,1.5,0.52
40,2,307,108,3.85,0,4,3.5,0.48
41,3,308,110,4,1,3.5,3,0.46
42,2,316,105,4.1,1,2.5,2.5,0.49
43,2,313,107,4.25,1,2.5,2,0.53
44,4,332,117,4.55,0,4.5,4,0.87
45,5,326,113,4.7,1,4.5,4,0.91
46,5,322,110,4.55,1,5,4,0.88
47,5,329,114,4.65,1,4,5,0.86
48,5,339,119,4.85,0,4.5,4,0.89
49,3,321,110,4.425,1,3.5,5,0.82
50,4,327,111,4.2,1,3,4,0.78
51,3,313,98,4.15,1,2.5,4.5,0.76
52,2,312,100,3.95,1,1.5,3.5,0.56
53,4,334,116,4,1,4,3,0.78
54,4,324,112,4.05,1,4,2.5,0.72
55,3,322,110,4,0,3,3.5,0.7
56,3,320,103,3.85,0,3,3,0.64
57,3,316,102,3.7,0,2,3,0.64
58,2,298,99,3.8,0,4,2,0.46
59,1,300,99,3.4,1,3,2,0.36
60,2,311,104,4.15,0,2,2,0.42
61,2,309,100,4.05,0,3,3,0.48
62,3,307,101,4.1,0,4,3,0.47
63,2,304,105,4.1,1,3,3,0.54
64,2,315,107,4.25,1,4,3,0.56
65,3,325,111,4.35,0,3,3.5,0.52
66,4,325,112,4.46,0,3.5,3.5,0.55
67,3,327,114,4.51,0,3,3,0.61
68,2,316,107,4.32,1,3.5,3.5,0.57
69,3,318,109,4.61,1,3.5,4,0.68
70,4,328,115,4.58,1,4.5,4,0.78
71,5,332,118,4.82,1,5,5,0.94
72,5,336,112,4.88,1,5,5,0.96
73,5,321,111,4.725,1,5,5,0.93
74,4,314,108,4.52,1,4.5,4,0.84
75,3,314,106,4.45,0,3,5,0.74
76,2,329,114,4.28,1,2,4,0.72
77,3,327,112,4.36,1,3,3,0.74
78,2,301,99,4.11,0,3,2,0.64
79,2,296,95,3.77,1,3,2,0.44
80,1,294,93,3.68,0,1.5,2,0.46
81,3,312,105,4.01,1,2,3,0.5
82,4,340,120,4.75,1,5,5,0.96
83,5,320,110,4.61,1,5,4.5,0.92
84,5,322,115,4.68,1,4,4.5,0.92
85,5,340,115,4.725,1,4.5,4.5,0.94
86,4,319,103,4.33,0,4.5,3.5,0.76
87,3,315,106,4.21,0,4.5,3.5,0.72
88,2,317,107,4.14,0,3.5,3,0.66
89,3,314,108,4.07,0,4.5,3.5,0.64
90,4,316,109,4.38,1,4.5,3.5,0.74
91,2,318,106,3.96,1,4,4,0.64
92,3,299,97,3.83,0,5,3.5,0.38
93,2,298,98,4.015,0,4,3,0.34
94,2,301,97,3.94,1,3,3,0.44
95,3,303,99,3.83,0,2,2.5,0.36
96,4,304,100,3.92,0,1.5,2.5,0.42
97,2,306,100,4,0,3,3,0.48
98,3,331,120,4.48,1,4,4,0.86
99,4,332,119,4.62,1,5,4.5,0.9
100,3,323,113,4.44,1,4,4,0.79
101,3,322,107,4.23,1,3.5,3.5,0.71
102,2,312,105,4.06,0,2.5,3,0.64
103,2,314,106,4.125,0,4,3.5,0.62
104,2,317,104,4.235,0,4.5,4,0.57
105,3,326,112,4.525,1,3.5,3,0.74
106,3,316,110,4.39,1,4,4.5,0.69
107,4,329,111,4.59,1,4.5,4.5,0.87
108,4,338,117,4.73,1,3.5,4.5,0.91
109,5,331,116,4.69,1,5,5,0.93
110,5,304,103,4.32,0,5,4,0.68
111,5,305,108,4.24,0,3,3,0.61
112,4,321,109,4.34,1,4,4,0.69
113,3,301,107,4.17,1,3.5,3.5,0.62
114,2,320,110,4.28,0,4,3.5,0.72
115,3,311,105,4.225,1,3.5,3,0.59
116,4,310,106,4.52,1,4.5,4.5,0.66
117,3,299,102,4.31,0,4,3.5,0.56
118,4,290,104,3.73,0,2,2.5,0.45
119,2,296,99,3.64,0,3,3.5,0.47
120,5,327,104,4.42,1,3,3.5,0.71
121,5,335,117,4.78,1,5,5,0.94
122,5,334,119,4.74,1,4.5,4.5,0.94
123,4,310,106,4.18,0,1.5,2.5,0.57
124,3,308,108,4.11,0,3.5,3.5,0.61
125,4,301,106,4.235,0,2.5,3,0.57
126,3,300,100,4.33,1,2,3,0.64
127,3,323,113,4.66,1,4,3,0.85
128,3,319,112,4.355,1,2.5,2,0.78
129,3,326,112,4.55,1,3.5,3,0.84
130,5,333,118,4.675,1,5,5,0.92
131,5,339,114,4.88,1,4,4.5,0.96
132,5,303,105,4.325,0,5,4.5,0.77
133,5,309,105,4.28,0,3.5,3.5,0.71
134,5,323,112,4.39,0,4,4.5,0.79
135,5,333,113,4.64,1,4,4,0.89
136,4,314,109,4.385,1,3.5,4,0.82
137,3,312,103,4.225,0,5,4,0.76
138,2,316,100,4.08,1,1.5,3,0.71
139,2,326,116,4.54,1,4.5,3,0.8
140,1,318,109,4.56,0,3.5,3.5,0.78
141,2,329,110,4.575,1,4,3,0.84
142,2,332,118,4.68,1,4.5,3.5,0.9
143,5,331,115,4.72,1,4,3.5,0.92
144,4,340,120,4.96,1,4.5,4,0.97
145,2,325,112,4.48,1,3,3.5,0.8
146,2,320,113,4.32,1,2,2.5,0.81
147,3,315,105,4.24,0,2,2.5,0.75
148,3,326,114,4.555,1,3,3,0.83
149,4,339,116,4.9,1,4,3.5,0.96
150,2,311,106,4.13,1,3.5,3,0.79
151,4,334,114,4.715,1,4,4,0.93
152,5,332,116,4.64,1,5,5,0.94
153,5,321,112,4.53,1,5,5,0.86
154,3,324,105,4.375,0,3,4,0.79
155,3,326,108,4.445,0,3,3.5,0.8
156,3,312,109,4.345,0,3,3,0.77
157,3,315,105,4.17,0,2,2.5,0.7
158,2,309,104,4.13,0,2,2.5,0.65
159,2,306,106,4.07,0,2,2.5,0.61
160,1,297,100,3.95,0,1.5,2,0.52
161,1,315,103,3.93,0,1.5,2,0.57
162,1,298,99,3.73,0,1.5,3,0.53
163,3,318,109,4.25,0,3,3,0.67
164,3,317,105,4.28,0,3.5,3,0.68
165,4,329,111,4.505,1,4.5,4,0.81
166,5,322,110,4.485,0,4.5,4,0.78
167,3,302,102,4.165,0,3.5,5,0.65
168,3,313,102,4.135,0,2,3,0.64
169,2,293,97,3.9,1,2,4,0.64
170,2,311,99,3.99,0,2.5,3,0.65
171,2,312,101,4.02,1,2.5,3.5,0.68
172,5,334,117,4.535,1,4,4.5,0.89
173,4,322,110,4.565,1,4,5,0.86
174,4,323,113,4.615,1,4,4.5,0.89
175,4,321,111,4.485,1,4,4,0.87
176,4,320,111,4.435,1,4.5,3.5,0.85
177,4,329,119,4.58,1,4.5,4.5,0.9
178,3,319,110,4.52,0,3.5,3.5,0.82
179,3,309,108,4.06,0,2.5,3,0.72
180,3,307,102,4.135,0,3,3,0.73
181,3,300,104,4.08,0,3.5,3,0.71
182,2,305,107,4.21,0,2.5,2.5,0.71
183,2,299,100,3.94,0,3,3.5,0.68
184,3,314,110,4.4,0,4,4,0.75
185,2,316,106,4.16,0,2.5,4,0.72
186,4,327,113,4.555,1,4.5,4.5,0.89
187,3,317,107,4.34,1,3.5,3,0.84
188,5,335,118,4.72,1,4.5,3.5,0.93
189,5,331,115,4.68,1,4.5,3.5,0.93
190,5,324,112,4.54,1,5,5,0.88
191,5,324,111,4.58,1,4.5,4,0.9
192,5,323,110,4.49,1,4,5,0.87
193,5,322,114,4.47,1,4.5,4,0.86
194,5,336,118,4.765,1,4.5,5,0.94
195,3,316,109,4.38,0,3.5,3,0.77
196,2,307,107,4.26,1,3,3.5,0.78
197,2,306,105,4.13,0,3,2.5,0.73
198,2,310,106,4.165,0,3.5,2.5,0.73
199,3,311,104,4.215,0,4.5,4.5,0.7
200,3,313,107,4.345,0,4,4.5,0.72
201,3,317,103,4.27,1,2.5,3,0.73
202,2,315,110,4.23,1,3.5,3,0.72
203,5,340,120,4.955,1,4.5,4.5,0.97
204,5,334,120,4.935,1,4,5,0.97
205,3,298,105,4.27,0,3.5,4,0.69
206,2,295,99,3.825,0,2.5,3,0.57
207,2,315,99,3.945,0,3.5,3,0.63
208,3,310,102,4.01,1,3.5,4,0.66
209,2,305,106,4.08,0,3,3,0.64
210,3,301,104,4.06,1,3.5,4,0.68
211,4,325,108,4.53,1,4.5,4,0.79
212,4,328,110,4.57,1,5,4,0.82
213,4,338,120,4.83,1,5,5,0.95
214,5,333,119,4.89,1,5,4.5,0.96
215,4,331,117,4.71,1,4.5,5,0.94
216,5,330,116,4.68,1,5,4.5,0.93
217,4,322,112,4.63,1,4.5,4.5,0.91
218,4,321,109,4.565,1,4,4,0.85
219,4,324,110,4.485,1,3,3.5,0.84
220,3,312,104,4.21,0,3.5,3.5,0.74
221,3,313,103,4.375,0,4,4,0.76
222,3,316,110,4.28,0,3.5,4,0.75
223,4,324,113,4.395,0,4.5,4,0.76
224,2,308,109,4.225,0,3,4,0.71
225,2,305,105,4.115,0,3,2,0.67
226,2,296,99,4.015,0,2.5,2.5,0.61
227,2,306,110,4.225,0,3.5,4,0.63
228,2,312,110,4.265,0,3.5,3,0.64
229,3,318,112,4.335,0,4,3.5,0.71
230,4,324,111,4.505,1,3,3,0.82
231,3,313,104,4.325,0,4,4.5,0.73
232,3,319,106,4.165,1,3.5,2.5,0.74
233,2,312,107,4.135,0,2.5,3.5,0.69
234,2,304,100,4.035,0,2.5,3.5,0.64
235,5,330,113,4.655,1,5,4,0.91
236,5,326,111,4.615,1,4.5,4,0.88
237,4,325,112,4.585,1,4,4.5,0.85
238,5,329,114,4.595,1,4.5,5,0.86
239,3,310,104,4.185,0,2,3.5,0.7
240,1,299,100,3.945,0,1.5,2,0.59
241,1,296,101,3.84,0,2.5,3,0.6
242,2,317,103,4.075,0,2.5,2,0.65
243,3,324,115,4.38,1,3.5,3,0.7
244,3,325,114,4.52,1,3.5,3,0.76
245,2,314,107,4.28,0,2.5,4,0.63
246,4,328,110,4.51,1,4,2.5,0.81
247,3,316,105,4.365,0,3,3.5,0.72
248,2,311,104,4.24,0,2.5,3.5,0.71
249,3,324,110,4.435,1,3.5,4,0.8
250,3,321,111,4.415,1,3.5,4,0.77
251,3,320,104,4.285,1,3,2.5,0.74
252,2,316,99,4.5,0,2.5,3,0.7
253,2,318,100,4.27,1,2.5,3.5,0.71
254,4,335,115,4.84,1,4.5,4.5,0.93
255,4,321,114,4.56,0,4,5,0.85
256,4,307,110,4.185,0,4,4.5,0.79
257,3,309,99,4.28,0,4,4,0.76
258,3,324,100,4.32,1,4,5,0.78
259,4,326,102,4.38,1,5,5,0.77
260,4,331,119,4.67,1,5,4.5,0.9
261,5,327,108,4.565,1,5,3.5,0.87
262,3,312,104,4.045,0,3.5,4,0.71
263,2,308,103,4.18,1,2.5,4,0.7
264,3,324,111,4.395,1,2.5,1.5,0.7
265,2,325,110,4.38,1,3,2.5,0.75
266,3,313,102,4.34,0,2.5,2.5,0.71
267,2,312,105,4.225,0,2,2.5,0.72
268,3,314,107,4.085,1,3,3.5,0.73
269,4,327,113,4.57,0,4.5,5,0.83
270,4,308,108,4.17,0,4.5,5,0.77
271,2,306,105,4.11,1,2.5,3,0.72
272,2,299,96,3.93,0,1.5,2,0.54
273,1,294,95,3.82,0,1.5,1.5,0.49
274,1,312,99,4.005,1,1,1.5,0.52
275,1,315,100,3.975,0,2,2.5,0.58
276,3,322,110,4.48,1,3.5,3,0.78
277,5,329,113,4.725,1,5,4.5,0.89
278,2,320,101,4.31,0,2.5,3,0.7
279,2,308,103,4.245,0,3,3.5,0.66
280,2,304,102,4.365,0,3,4,0.67
281,3,311,102,4.32,1,4.5,4,0.68
282,3,317,110,4.555,1,4,4.5,0.8
283,3,312,106,4.395,1,4,3.5,0.81
284,3,321,111,4.45,1,2.5,3,0.8
285,4,340,112,4.83,1,5,4.5,0.94
286,5,331,116,4.63,1,4,4,0.93
287,5,336,118,4.595,1,4.5,4,0.92
288,5,324,114,4.54,1,5,4.5,0.89
289,4,314,104,4.51,0,5,5,0.82
290,3,313,109,4.5,0,4,3.5,0.79
291,2,307,105,3.825,0,2.5,3,0.58
292,2,300,102,3.935,0,1.5,2,0.56
293,2,302,99,3.985,0,1,2,0.56
294,1,312,98,4.09,1,3.5,3,0.64
295,2,316,101,4.16,1,2.5,2,0.61
296,2,317,100,4.285,0,3,2.5,0.68
297,3,310,107,4.335,0,3.5,3.5,0.76
298,3,320,120,4.555,0,4,4.5,0.86
299,3,330,114,4.62,1,4.5,4.5,0.9
300,3,305,112,4.325,0,3,3.5,0.71
301,2,309,106,4,0,2.5,2.5,0.62
302,2,319,108,4.38,0,2.5,3,0.66
303,2,322,105,4.225,1,3,3,0.65
304,3,323,107,4.275,1,3.5,3.5,0.73
305,2,313,106,4.215,0,2.5,2,0.62
306,3,321,109,4.4,1,3.5,3.5,0.74
307,3,323,110,4.55,1,4,3.5,0.79
308,4,325,112,4.5,1,4,4,0.8
309,3,312,108,4.265,0,3.5,3,0.69
310,4,308,110,4.3,0,3.5,3,0.7
311,3,320,104,4.37,1,3,3.5,0.76
312,4,328,108,4.59,1,4.5,4,0.84
313,4,311,107,4.5,1,4.5,4.5,0.78
314,3,301,100,4.02,0,3.5,3,0.67
315,2,305,105,4.065,0,3,4,0.66
316,2,308,104,4.035,0,2.5,3,0.65
317,2,298,101,3.93,0,1.5,2,0.54
318,1,300,99,4.005,0,1,2.5,0.58
319,3,324,111,4.4,1,2.5,2,0.79
320,4,327,113,4.345,1,3.5,3,0.8
321,3,317,106,4.25,1,4,3.5,0.75
322,3,323,104,4.22,1,4,4,0.73
323,2,314,107,4.135,0,2.5,4,0.72
324,2,305,102,4.09,0,2,2.5,0.62
325,3,315,104,4.165,0,3,2.5,0.67
326,3,326,116,4.57,1,3.5,4,0.81
327,3,299,100,4.01,0,2,2,0.63
328,2,295,101,3.93,0,2.5,2,0.69
329,4,324,112,4.385,1,4,3.5,0.8
330,2,297,96,3.945,0,2.5,1.5,0.43
331,3,327,113,4.33,1,3.5,3,0.8
332,2,311,105,4.06,1,3,2,0.73
333,3,308,106,4.105,1,3.5,2.5,0.75
334,3,319,108,4.27,1,3,3.5,0.71
335,4,312,107,4.325,1,4.5,4,0.73
336,4,325,111,4.555,1,4,4.5,0.83
337,3,319,110,4.395,0,3,2.5,0.72
338,5,332,118,4.735,1,5,5,0.94
339,5,323,108,4.37,1,4,4,0.81
340,5,324,107,4.33,1,3.5,4,0.81
341,3,312,107,4.23,1,3,3,0.75
342,3,326,110,4.38,1,3.5,3.5,0.79
343,3,308,106,4.12,0,3,3,0.58
344,2,305,103,4.065,0,2.5,3.5,0.59
345,2,295,96,3.67,0,1.5,2,0.47
346,1,316,98,3.715,0,1.5,2,0.49
347,2,304,97,3.82,0,1.5,2,0.47
348,1,299,94,3.67,0,1,1,0.42
349,1,302,99,3.625,0,2,2,0.57
350,3,313,101,4.02,0,2.5,3,0.62
351,3,318,107,4.135,1,3,3.5,0.74
352,4,325,110,4.335,1,3.5,4,0.73
353,2,303,100,4.03,1,3,3.5,0.64
354,3,300,102,4.085,0,3.5,2.5,0.63
355,2,297,98,3.835,0,2.5,3,0.59
356,2,317,106,4.06,0,2,3.5,0.73
357,3,327,109,4.385,1,3.5,4,0.79
358,2,301,104,3.945,1,3.5,3.5,0.68
359,2,314,105,3.82,0,2.5,2,0.7
360,2,321,107,4.22,0,2,1.5,0.81
361,3,322,110,4.32,1,4,5,0.85
362,4,334,116,4.77,1,4,3.5,0.93
363,5,338,115,4.615,1,4.5,5,0.91
364,2,306,103,4.18,0,2.5,3,0.69
365,3,313,102,4.45,1,3.5,4,0.77
366,4,330,114,4.585,1,4.5,3,0.86
367,3,320,104,4.17,1,3.5,4.5,0.74
368,1,311,98,3.73,0,1,2.5,0.57
369,1,298,92,3.94,0,2,2,0.51
370,1,301,98,4.015,1,2,3,0.67
371,2,310,103,4.12,0,2.5,2.5,0.72
372,3,324,110,4.61,1,3.5,3,0.89
373,4,336,119,4.81,1,4.5,4,0.95
374,3,321,109,4.27,1,3,3,0.79
375,2,315,105,3.825,0,2,2.5,0.39
376,2,304,101,3.83,0,2,2.5,0.38
377,2,297,96,3.715,0,2.5,2,0.34
378,1,290,100,3.78,0,1.5,2,0.47
379,1,303,98,3.825,0,2,2.5,0.56
380,1,311,99,4.215,1,2.5,3,0.71
381,3,322,104,4.42,1,3.5,4,0.78
382,3,319,105,4.335,1,3,3.5,0.73
383,4,324,110,4.575,1,4.5,4,0.82
384,3,300,100,4.13,0,3,3.5,0.62
385,4,340,113,4.87,1,5,5,0.96
386,5,335,117,4.91,1,5,5,0.96
387,2,302,101,3.98,0,2.5,3.5,0.46
388,2,307,105,4.05,0,2,3.5,0.53
389,2,296,97,3.9,0,1.5,2,0.49
390,3,320,108,4.22,1,3.5,4,0.76
391,2,314,102,4.12,0,2,2.5,0.64
392,3,318,106,4.325,0,2,3,0.71
393,4,326,112,4.56,1,4,3.5,0.84
394,2,317,104,4.38,0,3,3,0.77
395,4,329,111,4.615,1,4.5,4,0.89
396,3,324,110,4.52,1,3.5,3.5,0.82
397,3,325,107,4.555,1,3,3.5,0.84
398,4,330,116,4.725,1,5,4.5,0.91
399,3,312,103,4.39,0,3.5,4,0.67
400,4,333,117,4.83,1,5,4,0.95
401,2,304,100,4.11,0,3.5,3,0.63
402,2,315,105,4.17,0,3,3,0.66
403,3,324,109,4.47,1,3.5,3,0.78
404,4,330,116,4.615,1,4,3.5,0.91
405,3,311,101,3.82,1,2,2.5,0.62
406,3,302,99,3.725,0,2.5,3,0.52
407,4,322,103,4.01,1,3,2.5,0.61
408,3,298,100,3.975,1,2.5,4,0.58
409,3,297,101,3.835,1,2,4,0.57
410,1,300,98,4.01,0,2,2.5,0.61
411,1,301,96,3.78,0,3,4,0.54
412,2,313,94,4.065,0,2.5,1.5,0.56
413,4,314,102,3.94,1,2.5,2,0.59
414,3,317,101,3.97,1,3,2,0.49
415,4,321,110,4.175,1,3.5,4,0.72
416,4,327,106,4.375,1,4,4.5,0.76
417,3,315,104,4.05,0,4,2.5,0.65
418,3,316,103,3.84,0,3.5,2,0.52
419,2,309,111,4.015,0,2.5,4,0.6
420,2,308,102,3.99,1,2,3.5,0.58
421,3,299,100,3.71,0,2,3,0.42
422,3,321,112,4.475,1,3,4.5,0.77
423,4,322,112,4.51,1,3.5,2.5,0.73
424,5,334,119,4.77,1,4.5,5,0.94
425,5,325,114,4.73,1,4,5,0.91
426,5,323,111,4.93,1,4,5,0.92
427,3,312,106,4.285,0,3,5,0.71
428,3,310,101,4.325,1,3.5,5,0.71
429,2,316,103,4.37,0,2,4.5,0.69
430,5,340,115,4.53,1,5,4.5,0.95
431,3,311,104,4.065,1,4,3.5,0.74
432,2,320,112,4.39,1,3.5,3.5,0.73
433,4,324,112,4.61,1,4.5,4,0.86
434,4,316,111,4.27,0,4,5,0.71
435,3,306,103,4.105,0,3.5,3,0.64
436,2,309,105,3.84,0,2.5,4,0.55
437,1,310,110,3.615,1,1.5,4,0.58
438,1,317,106,3.825,1,1.5,3.5,0.61
439,1,318,110,4.27,1,2.5,3.5,0.67
440,2,312,105,4.23,0,1.5,3,0.66
441,2,305,104,3.895,0,2.5,1.5,0.53
442,1,332,112,4.33,1,1.5,3,0.79
443,4,331,116,4.72,1,4.5,4.5,0.92
444,5,321,114,4.58,1,4.5,4.5,0.87
445,5,324,113,4.625,1,4,5,0.92
446,5,328,116,4.54,1,4.5,5,0.91
447,4,327,118,4.835,1,5,5,0.93
448,3,320,108,4.485,1,3.5,5,0.84
449,2,312,109,4.51,0,2.5,4,0.8
450,3,315,101,4.565,0,3.5,4.5,0.79
451,4,320,112,4.43,1,3,4.5,0.82
452,4,324,113,4.625,1,4.5,4.5,0.89
453,4,328,116,4.8,1,5,3.5,0.93
454,3,319,103,4.38,1,2.5,4,0.73
455,2,310,105,4.005,0,3,3.5,0.71
456,2,305,102,3.82,0,1.5,2.5,0.59
457,2,299,100,3.94,0,2,2,0.51
458,1,295,99,3.785,0,2,1.5,0.37
459,1,312,100,4.265,1,3,3,0.69
460,4,329,113,4.68,1,4,3.5,0.89
461,4,319,105,4.33,1,4,4.5,0.77
462,3,301,102,4.065,1,2.5,2,0.68
463,4,307,105,3.97,0,3,3,0.62
464,3,304,107,3.93,0,3.5,3,0.57
465,2,298,97,3.605,0,2,3,0.45
466,4,305,96,4.13,0,3,4.5,0.54
467,4,314,99,4.365,1,3.5,4.5,0.71
468,5,318,101,4.39,1,3.5,5,0.78
469,4,323,110,4.44,1,4,5,0.81
470,4,326,114,4.58,1,4,3.5,0.86
471,5,320,110,4.635,1,4,4,0.87
472,3,311,103,4.045,0,2,4,0.64
473,4,327,116,4.74,1,4,4.5,0.9
474,2,316,102,4.075,0,4,3.5,0.67
475,4,308,105,3.975,1,3,2.5,0.67
476,3,300,101,3.94,0,3.5,2.5,0.59
477,3,304,104,4.06,0,2.5,2,0.62
478,4,309,105,4.09,0,3.5,2,0.65
479,3,318,103,4.245,1,4,4.5,0.71
480,4,325,110,4.48,1,4.5,4,0.79
481,3,321,102,4.505,1,3.5,4,0.8
482,4,323,107,4.24,1,3,2.5,0.78
483,4,328,113,4.385,1,4,2.5,0.83
484,5,304,103,3.96,0,5,3,0.71
485,3,317,106,3.945,1,3.5,3,0.73
486,2,311,101,4.17,1,2.5,3.5,0.7
487,3,319,102,4.185,0,2.5,2.5,0.68
488,4,327,115,4.57,0,3.5,4,0.79
489,3,322,112,4.31,1,3,4,0.76
490,3,302,110,4.25,0,4,4.5,0.65
491,2,307,105,4.06,1,2.5,4.5,0.67
492,4,297,99,3.905,0,3,3.5,0.54
493,4,298,101,3.845,1,2.5,4.5,0.53
494,2,300,95,4.11,1,3,1.5,0.62
495,3,301,99,4.225,1,2.5,2,0.68
496,5,332,108,4.51,1,4.5,4,0.87
497,5,337,117,4.935,1,5,5,0.96
498,5,330,120,4.78,1,4.5,5,0.93
499,4,312,103,4.215,0,4,5,0.73
500,4,327,113,4.52,0,4.5,4.5,0.84
